exports_t,exports_t1,netusers_t,netusers_t1,id
NA,NA,0.148647877,NA,CEB;1993
41.42871741,41.41189285,2.167270203,1.751713322,CHE;1993
NA,NA,NA,NA,CHI;1993
25.88068051,28.96179193,0.071783144,0.036548938,CHL;1993
16.70229455,15.65821968,1.6868e-4,NA,CHN;1993
29.44245287,31.90948693,NA,NA,CIV;1993
13.91794311,20.54702225,NA,NA,CMR;1993
NA,NA,NA,NA,COD;1993
42.83637057,40.69209692,NA,NA,COG;1993
15.18449529,16.5185547,NA,NA,COL;1993
8.835914472,8.836502404,NA,NA,COM;1993
13.26083108,17.28300759,NA,NA,CPV;1993
36.20940721,35.42840704,0.081509754,0.001113325,CRI;1993
NA,NA,NA,NA,CSS;1993
13.19420995,16.91826697,NA,NA,CUB;1993
NA,NA,NA,NA,CUW;1993
NA,NA,0,NA,CYM;1993
47.49137428,49.45696026,0.056367481999999997,0.05006043,CYP;1993
40.12560939,40.04592951,0.581319529,NA,CZE;1993
20.31344059,22.19469349,0.463635096,0.43528529,DEU;1993
NA,NA,NA,NA,DJI;1993
